link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,biodiversity,Environmental Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Organic farming,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,irrigation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,water management,Environmental Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil health,Environmental Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,health,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,disease,Disease/Health
https://en.wikipedia.org/wiki/Sustainable_agriculture,COVID-19,Disease/Health
https://www.nature.com/articles/d41586-025-03353-5,disease,Disease/Health
https://www.fao.org/3/y4671e/y4671e06.htm,climate change,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,health,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,FAO,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,who,Organization
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Tramadol,Drug/Medical
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Pain,Disease/Health
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,disease,Disease/Health
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,Cancer,Disease/Health
https://www.medscape.com/viewarticle/time-reconsider-tramadol-chronic-pain-2025a1000ria,who,Organization
https://www.medscape.com/viewarticle/second-dose-boosts-shingles-protection-adults-aged-65-years-2025a1000ro7,Shingles,Disease/Health
https://www.medscape.com/viewarticle/second-dose-boosts-shingles-protection-adults-aged-65-years-2025a1000ro7,vaccine,Drug/Medical
https://www.medscape.com/viewarticle/second-dose-boosts-shingles-protection-adults-aged-65-years-2025a1000ro7,Health,Concept
https://www.medscape.com/viewarticle/second-dose-boosts-shingles-protection-adults-aged-65-years-2025a1000ro7,who,Organization
https://www.theguardian.com/global-development/2025/oct/13/astro-ambassadors-stargazers-himalayas-hanle-ladakh-india,who,Organization
